Class,mAP@0.5
curveLeft,0.995
curveRight,0.995
dip,0.995
doNotPass,0.995
doNotEnter,0.995
intersection,0.995
laneEnds,0.995
rampSpeedAdvisory35,0.995
merge,0.995
noLeftTurn,0.995
pedestrianCrossing,0.995
rightLaneMustTurn,0.995
rampSpeedAdvisoryUrdbl,0.995
rampSpeedAdvisory50,0.995
rampSpeedAdvisory45,0.995
zoneAhead45,0.995
yieldAhead,0.995
thruTrafficMergeLeft,0.995
thruMergeLeft,0.995
roundabout,0.995
speedLimit40,0.995
speedLimit15,0.995
slow,0.995
speedLimit45,0.995
turnLeft,0.995
zoneAhead25,0.995
speedLimit50,0.995
thruMergeRight,0.995
speedLimit65,0.995
speedLimit55,0.995
signalAhead,0.9948148148148148
stopAhead,0.9945348837209302
speedLimit30,0.9944444444444444
school,0.9940909090909092
turnRight,0.9933333333333334
speedLimit35,0.9924151285743402
addedLane,0.9910594282717021
stop,0.9908897593972287
yield,0.9884678362573099
truckSpeedLimit55,0.9879411764705881
speedLimit25,0.9875095102135074
schoolSpeedLimit25,0.9863793103448276
keepRight,0.9834475371120106
speedLimitUrdbl,0.9251182870472574
noRightTurn,0.8718965517241378
rampSpeedAdvisory20,0.8300000000000002
rampSpeedAdvisory40,0.16814814814814816
