epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.246,1.49992,4.88696,1.10477,0.68724,0.16692,0.15396,0.1099,1.10964,1.8425,0.96902,0.00332618,0.00332618,0.00332618
2,609.894,1.30817,3.00196,1.04427,0.54867,0.31762,0.26787,0.1918,1.05379,1.61467,0.97536,0.00659358,0.00659358,0.00659358
3,873.035,1.33173,2.56674,1.06306,0.55552,0.31555,0.31871,0.21749,1.1236,1.80389,1.00844,0.00979499,0.00979499,0.00979499
4,1135.49,1.34495,1.9722,1.09135,0.62649,0.32662,0.35268,0.25339,1.02585,2.63002,0.99022,0.009703,0.009703,0.009703
5,1394.21,1.27381,1.54739,1.06854,0.65434,0.38654,0.47656,0.28447,1.52952,1.46999,1.12227,0.009604,0.009604,0.009604
6,1657.15,1.22228,1.33358,1.04701,0.6725,0.46979,0.53469,0.39928,0.94373,1.01262,0.95734,0.009505,0.009505,0.009505
7,1914.74,1.17339,1.20854,1.02962,0.6367,0.57081,0.59624,0.45988,0.84803,0.8722,0.91798,0.009406,0.009406,0.009406
8,2172.19,1.14448,1.13042,1.01744,0.68618,0.59354,0.63553,0.48918,0.87834,0.889,0.92394,0.009307,0.009307,0.009307
9,2432.64,1.12439,1.08407,1.00708,0.72039,0.61537,0.71724,0.55496,0.83122,0.74036,0.91191,0.009208,0.009208,0.009208
10,2693.51,1.10136,1.02387,1.00015,0.70322,0.60515,0.67895,0.5003,0.96674,0.83747,0.92869,0.009109,0.009109,0.009109
11,2954.31,1.07896,0.97993,0.98838,0.72926,0.66621,0.74903,0.57835,0.83137,0.7115,0.90668,0.00901,0.00901,0.00901
12,3217.19,1.06299,0.94306,0.98151,0.76738,0.65451,0.77338,0.61995,0.74677,0.67211,0.88579,0.008911,0.008911,0.008911
13,3475.8,1.04832,0.90058,0.97856,0.69363,0.7288,0.77678,0.62284,0.74403,0.6218,0.88335,0.008812,0.008812,0.008812
14,3735.9,1.03548,0.88561,0.97108,0.74283,0.78742,0.85917,0.68497,0.73284,0.58416,0.8811,0.008713,0.008713,0.008713
15,3999.63,1.03114,0.85018,0.97276,0.77116,0.79451,0.85295,0.67616,0.74606,0.60342,0.87914,0.008614,0.008614,0.008614
16,4264.74,1.01506,0.82718,0.96469,0.69786,0.82916,0.8414,0.67151,0.75392,0.57035,0.8833,0.008515,0.008515,0.008515
17,4530.08,1.00584,0.80218,0.96105,0.75501,0.82499,0.8682,0.70762,0.71331,0.52966,0.87178,0.008416,0.008416,0.008416
18,4792.8,0.99911,0.79097,0.96279,0.78461,0.81109,0.89927,0.73052,0.72005,0.53283,0.87029,0.008317,0.008317,0.008317
19,5051.7,0.98514,0.7747,0.95444,0.82386,0.79696,0.90537,0.74854,0.69244,0.51495,0.86575,0.008218,0.008218,0.008218
20,5313.87,0.97812,0.75493,0.95203,0.8044,0.85399,0.91511,0.7509,0.71446,0.50849,0.87183,0.008119,0.008119,0.008119
21,5576.95,0.97293,0.74489,0.95024,0.81664,0.84664,0.91802,0.75888,0.69213,0.49846,0.86326,0.00802,0.00802,0.00802
22,5837.66,0.9657,0.73052,0.94456,0.85047,0.84692,0.9317,0.77898,0.68425,0.4771,0.86102,0.007921,0.007921,0.007921
23,6098.16,0.95671,0.70477,0.94659,0.81918,0.9094,0.92349,0.76657,0.67775,0.44695,0.85875,0.007822,0.007822,0.007822
24,6357.6,0.9491,0.70593,0.94239,0.838,0.85543,0.91181,0.76315,0.66114,0.45216,0.85716,0.007723,0.007723,0.007723
