epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.984,1.5976,6.0708,1.11535,0.79851,0.04201,0.036,0.02378,1.32612,3.04923,0.99837,6.49579e-05,6.49579e-05,6.49579e-05
2,478.632,1.34689,3.91865,0.99337,0.62979,0.12774,0.11107,0.07424,1.18883,1.96373,0.98386,0.000127711,0.000127711,0.000127711
3,697.585,1.22164,2.86837,0.9796,0.58977,0.17668,0.19005,0.1251,1.15965,1.74735,0.97224,0.000187878,0.000187878,0.000187878
4,919.559,1.14172,2.18928,0.96145,0.56653,0.27884,0.28321,0.19897,1.02686,1.35387,0.95342,0.000184358,0.000184358,0.000184358
5,1138.85,1.09888,1.76354,0.94922,0.52549,0.39839,0.40689,0.29425,1.00478,1.11905,0.9344,0.000180477,0.000180477,0.000180477
6,1359.59,1.06033,1.48794,0.94135,0.48999,0.4602,0.45884,0.34377,0.97157,1.04854,0.92802,0.000176596,0.000176596,0.000176596
7,1589.69,1.02889,1.28904,0.93111,0.59935,0.5273,0.55106,0.41898,0.92234,0.91153,0.91126,0.000172715,0.000172715,0.000172715
8,1806.32,1.01019,1.14604,0.92745,0.61478,0.58971,0.60671,0.4607,0.89671,0.84854,0.90546,0.000168834,0.000168834,0.000168834
9,2020.83,0.9904,1.05042,0.91925,0.75214,0.56333,0.67248,0.5142,0.8812,0.79907,0.90324,0.000164954,0.000164954,0.000164954
10,2237.29,0.96723,0.98055,0.91552,0.69239,0.62961,0.70075,0.53925,0.86965,0.74826,0.89776,0.000161073,0.000161073,0.000161073
11,2451.36,0.95584,0.91369,0.91321,0.76746,0.63865,0.7305,0.56312,0.87399,0.69603,0.8972,0.000157192,0.000157192,0.000157192
12,2666.88,0.94282,0.86834,0.91016,0.75756,0.64455,0.74433,0.56738,0.88224,0.69058,0.90104,0.000153311,0.000153311,0.000153311
